Tank	InoGrav	AvgGrowth	Lighting	Plant	Media	Water
TANK1	Gravel	0.587	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.539	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.439	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.615	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.606	Artificial	Peas	Float	Wicks
TANK1	Gravel	1.01	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.22	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.128	Artificial	Peas	Float	Wicks
TANK1	Gravel	0.418	Artificial	Peas	Float	Wicks
TANK2	Inoculant	0.137	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.166	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.156	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.137	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.22	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.201	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.112	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.112	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.146	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.164	Natural	Tomatoes	Clay	Wicks
TANK2	Inoculant	0.179	Natural	Tomatoes	Clay	Wicks
TANK3	Inoculant	0.128	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.214	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.156	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.145	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.216	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.19	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.213	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.201	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.152	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.111	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.0908	Artificial	Tomatoes	Float	Wicks
TANK3	Inoculant	0.126	Artificial	Tomatoes	Float	Wicks
TANK4	Gravel	0.0853	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.177	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.144	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.132	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.159	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.186	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.0382	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.11	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.149	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.141	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.0866	Natural	Basil	Coconut	Wicks
TANK4	Gravel	0.164	Natural	Basil	Coconut	Wicks
TANK5	Inoculant	0.0707	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.0988	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.157	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.135	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.155	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.106	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.193	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.0538	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.057	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.051	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.115	Artificial	Basil	Clay	Pumps
TANK5	Inoculant	0.15	Artificial	Basil	Clay	Pumps
TANK6	Gravel	0.0973	Natural	Basil	Float	Pumps
TANK6	Gravel	0.226	Natural	Basil	Float	Pumps
TANK6	Gravel	0.153	Natural	Basil	Float	Pumps
TANK6	Gravel	0.0779	Natural	Basil	Float	Pumps
TANK6	Gravel	0.104	Natural	Basil	Float	Pumps
TANK6	Gravel	0.0916	Natural	Basil	Float	Pumps
TANK6	Gravel	0.112	Natural	Basil	Float	Pumps
TANK6	Gravel	0.0564	Natural	Basil	Float	Pumps
TANK6	Gravel	0.152	Natural	Basil	Float	Pumps
TANK6	Gravel	0.129	Natural	Basil	Float	Pumps
TANK6	Gravel	0.11	Natural	Basil	Float	Pumps
TANK7	Inoculant	0.68	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.569	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.0935	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	1.3	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.245	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.0794	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.151	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	1.04	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.0564	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.652	Artificial	Peas	Clay	Pumps
TANK7	Inoculant	0.708	Artificial	Peas	Clay	Pumps
TANK8	Inoculant	0.375	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.289	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.0804	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.0493	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.383	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.086	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.248	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.399	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.419	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.235	Natural	Peas	Clay	Pumps
TANK8	Inoculant	0.225	Natural	Peas	Clay	Pumps
TANK9	Gravel	0.24	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.2	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.36	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.091	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.165	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.0771	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.126	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.139	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.122	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.136	Artificial	Tomatoes	Coconut	Wicks
TANK9	Gravel	0.149	Artificial	Tomatoes	Coconut	Wicks
TANK10	Inoculant	0.0806	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.154	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.105	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.0801	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.131	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.233	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.182	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.142	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.093	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.143	Natural	Tomatoes	Float	Pumps
TANK10	Inoculant	0.0648	Natural	Tomatoes	Float	Pumps